modelling and simulation in agricultural ecosystems
52 Q0 CACM-2721 1 0.30033359320373887 TFIDFSystem
52 Q0 CACM-0557 2 0.22600160540426867 TFIDFSystem
52 Q0 CACM-1928 3 0.21165331870532494 TFIDFSystem
52 Q0 CACM-2749 4 0.2074731337706698 TFIDFSystem
52 Q0 CACM-1329 5 0.20034736091309246 TFIDFSystem
52 Q0 CACM-3051 6 0.19734530394212835 TFIDFSystem
52 Q0 CACM-0757 7 0.18833467117022387 TFIDFSystem
52 Q0 CACM-3070 8 0.1861715587608039 TFIDFSystem
52 Q0 CACM-1870 9 0.1815157387603661 TFIDFSystem
52 Q0 CACM-1207 10 0.17842232005600156 TFIDFSystem
52 Q0 CACM-1366 11 0.17424334420812893 TFIDFSystem
52 Q0 CACM-0238 12 0.17121239453070197 TFIDFSystem
52 Q0 CACM-1208 13 0.16950120405320152 TFIDFSystem
52 Q0 CACM-2767 14 0.1634327031782638 TFIDFSystem
52 Q0 CACM-0633 15 0.15574744698095697 TFIDFSystem
52 Q0 CACM-2309 16 0.15363438857837297 TFIDFSystem
52 Q0 CACM-2298 17 0.15363438857837297 TFIDFSystem
52 Q0 CACM-0643 18 0.15218879513840178 TFIDFSystem
52 Q0 CACM-2725 19 0.14739235135061 TFIDFSystem
52 Q0 CACM-2742 20 0.14117159051848543 TFIDFSystem
52 Q0 CACM-1030 21 0.1372997087685475 TFIDFSystem
52 Q0 CACM-1890 22 0.1339397814857898 TFIDFSystem
52 Q0 CACM-1812 23 0.13038554157938578 TFIDFSystem
52 Q0 CACM-0678 24 0.1296326860817251 TFIDFSystem
52 Q0 CACM-2902 25 0.12217553664059995 TFIDFSystem
52 Q0 CACM-2218 26 0.1215046505144951 TFIDFSystem
52 Q0 CACM-3048 27 0.1196657821163475 TFIDFSystem
52 Q0 CACM-1653 28 0.11953013068844646 TFIDFSystem
52 Q0 CACM-1752 29 0.11805980216443689 TFIDFSystem
52 Q0 CACM-3061 30 0.11689738210565621 TFIDFSystem
52 Q0 CACM-2844 31 0.11689738210565621 TFIDFSystem
52 Q0 CACM-2057 32 0.11371066430202546 TFIDFSystem
52 Q0 CACM-1637 33 0.10823126668552223 TFIDFSystem
52 Q0 CACM-0605 34 0.10672855796195732 TFIDFSystem
52 Q0 CACM-2970 35 0.1055489781751925 TFIDFSystem
52 Q0 CACM-3064 36 0.1047114800981224 TFIDFSystem
52 Q0 CACM-1572 37 0.10418896652560858 TFIDFSystem
52 Q0 CACM-1912 38 0.10267150676434307 TFIDFSystem
52 Q0 CACM-1380 39 0.09866647610699963 TFIDFSystem
52 Q0 CACM-2798 40 0.09852957577251803 TFIDFSystem
52 Q0 CACM-2914 41 0.09810041108887305 TFIDFSystem
52 Q0 CACM-1894 42 0.09685783088754371 TFIDFSystem
52 Q0 CACM-1680 43 0.09430876631431162 TFIDFSystem
52 Q0 CACM-1716 44 0.09416733558511194 TFIDFSystem
52 Q0 CACM-1805 45 0.09185684974979225 TFIDFSystem
52 Q0 CACM-2549 46 0.09162227246119001 TFIDFSystem
52 Q0 CACM-2918 47 0.09142115513257387 TFIDFSystem
52 Q0 CACM-1288 48 0.08964105270694923 TFIDFSystem
52 Q0 CACM-2936 49 0.08945490447919094 TFIDFSystem
52 Q0 CACM-2062 50 0.08921116002800078 TFIDFSystem
52 Q0 CACM-2349 51 0.08692369438625717 TFIDFSystem
52 Q0 CACM-2931 52 0.08669903000253185 TFIDFSystem
52 Q0 CACM-2147 53 0.08456431021039937 TFIDFSystem
52 Q0 CACM-2272 54 0.08404915521337097 TFIDFSystem
52 Q0 CACM-1427 55 0.08401579867564118 TFIDFSystem
52 Q0 CACM-0371 56 0.08297000626994053 TFIDFSystem
52 Q0 CACM-0104 57 0.08279610028315562 TFIDFSystem
52 Q0 CACM-2261 58 0.08214059486895096 TFIDFSystem
52 Q0 CACM-1489 59 0.08204398595715279 TFIDFSystem
52 Q0 CACM-1261 60 0.0812478938649683 TFIDFSystem
52 Q0 CACM-1711 61 0.08109323872484854 TFIDFSystem
52 Q0 CACM-1131 62 0.08086020451493314 TFIDFSystem
52 Q0 CACM-0059 63 0.08039163948998285 TFIDFSystem
52 Q0 CACM-3183 64 0.07984215148769679 TFIDFSystem
52 Q0 CACM-2882 65 0.07932847147055697 TFIDFSystem
52 Q0 CACM-1387 66 0.0771676847178571 TFIDFSystem
52 Q0 CACM-0236 67 0.07681719428918649 TFIDFSystem
52 Q0 CACM-2979 68 0.07677671768311 TFIDFSystem
52 Q0 CACM-2344 69 0.07670320054575759 TFIDFSystem
52 Q0 CACM-0980 70 0.0764548228290355 TFIDFSystem
52 Q0 CACM-3107 71 0.07628974803406186 TFIDFSystem
52 Q0 CACM-1199 72 0.0747575302655628 TFIDFSystem
52 Q0 CACM-0409 73 0.07398719581878155 TFIDFSystem
52 Q0 CACM-3028 74 0.07397698941306091 TFIDFSystem
52 Q0 CACM-1541 75 0.07396325658776645 TFIDFSystem
52 Q0 CACM-2756 76 0.07375111668439156 TFIDFSystem
52 Q0 CACM-0794 77 0.07355044949670754 TFIDFSystem
52 Q0 CACM-2995 78 0.07315923265636808 TFIDFSystem
52 Q0 CACM-2271 79 0.07315923265636808 TFIDFSystem
52 Q0 CACM-0334 80 0.07315923265636808 TFIDFSystem
52 Q0 CACM-0084 81 0.07254855271047232 TFIDFSystem
52 Q0 CACM-1464 82 0.07242062772923677 TFIDFSystem
52 Q0 CACM-1435 83 0.07207474455763317 TFIDFSystem
52 Q0 CACM-1728 84 0.07151527185404591 TFIDFSystem
52 Q0 CACM-2939 85 0.07132164799680732 TFIDFSystem
52 Q0 CACM-2370 86 0.07110703057260687 TFIDFSystem
52 Q0 CACM-2911 87 0.07097717155833261 TFIDFSystem
52 Q0 CACM-0331 88 0.06983381299016952 TFIDFSystem
52 Q0 CACM-2262 89 0.06969680684593305 TFIDFSystem
52 Q0 CACM-2607 90 0.06958774719414365 TFIDFSystem
52 Q0 CACM-0694 91 0.06939745456789377 TFIDFSystem
52 Q0 CACM-1251 92 0.06917420142161314 TFIDFSystem
52 Q0 CACM-2829 93 0.06838848521303163 TFIDFSystem
52 Q0 CACM-0822 94 0.06828195047927688 TFIDFSystem
52 Q0 CACM-3190 95 0.06771002070071923 TFIDFSystem
52 Q0 CACM-3195 96 0.0676820546229208 TFIDFSystem
52 Q0 CACM-2734 97 0.06755551097436391 TFIDFSystem
52 Q0 CACM-2077 98 0.06736225358584996 TFIDFSystem
52 Q0 CACM-0529 99 0.0667975602514665 TFIDFSystem
52 Q0 CACM-3034 100 0.06586502495394025 TFIDFSystem
